epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,821.121,1.70688,1.47228,1.64885,0.77893,0.64767,0.72463,0.32663,1.89871,1.27992,1.71468,0.00998934,0.00332978,0.00998934,0.00332978,0.00998934,0.00332978,0.00998934,0.00332978
2,1565.14,1.67022,1.10467,1.61466,0.83941,0.77558,0.82482,0.38154,1.83659,1.01363,1.65221,0.0199588,0.00665295,0.0199588,0.00665295,0.0199588,0.00665295,0.0199588,0.00665295
3,2257.07,1.67351,1.11876,1.62833,0.76115,0.65027,0.7096,0.30949,1.95494,1.28308,1.76423,0.0298066,0.00993553,0.0298066,0.00993553,0.0298066,0.00993553,0.0298066,0.00993553
4,2948.12,1.6609,1.08837,1.6148,0.8058,0.70928,0.77751,0.35168,1.87526,1.13502,1.72552,0.0295897,0.00986323,0.0295897,0.00986323,0.0295897,0.00986323,0.0295897,0.00986323
5,3639.33,1.63106,1.01005,1.59864,0.86068,0.8054,0.85429,0.39447,1.81962,0.96732,1.65229,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
6,4330.61,1.61567,0.96751,1.5808,0.85841,0.81595,0.8653,0.40393,1.80978,0.92506,1.64357,0.0288696,0.0096232,0.0288696,0.0096232,0.0288696,0.0096232,0.0288696,0.0096232
7,5022.42,1.60352,0.93885,1.56784,0.8733,0.84149,0.88005,0.41497,1.80111,0.88386,1.64069,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048
8,5714.21,1.59559,0.91303,1.56116,0.89251,0.83221,0.88582,0.41278,1.81001,0.88252,1.63998,0.0278117,0.00927057,0.0278117,0.00927057,0.0278117,0.00927057,0.0278117,0.00927057
9,6405.68,1.59247,0.89551,1.5596,0.8889,0.84687,0.88945,0.42366,1.79042,0.8547,1.62528,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
10,7096.68,1.5814,0.88916,1.55063,0.89415,0.87471,0.90375,0.43264,1.77126,0.82751,1.61192,0.026442,0.00881401,0.026442,0.00881401,0.026442,0.00881401,0.026442,0.00881401
11,7787.6,1.58058,0.87694,1.55375,0.89089,0.87279,0.90071,0.43276,1.77079,0.8142,1.61566,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018
12,8478.66,1.57342,0.86757,1.54736,0.89238,0.86979,0.90525,0.43468,1.77501,0.80847,1.60581,0.0247943,0.00826477,0.0247943,0.00826477,0.0247943,0.00826477,0.0247943,0.00826477
13,9170.57,1.56752,0.85136,1.54384,0.90125,0.88024,0.91266,0.43941,1.77387,0.78081,1.59478,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954
14,9862.1,1.56278,0.84211,1.53493,0.90064,0.88875,0.91616,0.44188,1.75938,0.78105,1.59169,0.0229091,0.00763637,0.0229091,0.00763637,0.0229091,0.00763637,0.0229091,0.00763637
15,10553,1.55966,0.83916,1.53633,0.90085,0.89022,0.91588,0.44591,1.7463,0.7777,1.58226,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725
16,11243.6,1.55582,0.81931,1.52779,0.9062,0.89363,0.91739,0.44581,1.75345,0.76059,1.58572,0.0208328,0.00694428,0.0208328,0.00694428,0.0208328,0.00694428,0.0208328,0.00694428
17,11933.7,1.55529,0.82065,1.52986,0.90483,0.8996,0.91784,0.44723,1.7553,0.75357,1.58518,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963
18,12625.3,1.54879,0.80824,1.52428,0.90538,0.90396,0.92022,0.44743,1.76035,0.75417,1.5874,0.0186167,0.00620555,0.0186167,0.00620555,0.0186167,0.00620555,0.0186167,0.00620555
19,13316.2,1.54852,0.79923,1.5189,0.90716,0.90322,0.92137,0.4486,1.75366,0.74814,1.58055,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435
20,14007.8,1.54117,0.79723,1.51908,0.90659,0.90344,0.92207,0.44977,1.75009,0.75241,1.57775,0.0163151,0.00543837,0.0163151,0.00543837,0.0163151,0.00543837,0.0163151,0.00543837
21,14701.2,1.54104,0.78519,1.51584,0.90985,0.90451,0.92249,0.45052,1.75367,0.74238,1.57608,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
22,15392,1.53665,0.77484,1.51171,0.91072,0.90393,0.92149,0.44951,1.75358,0.74769,1.58202,0.0139849,0.00466163,0.0139849,0.00466163,0.0139849,0.00466163,0.0139849,0.00466163
23,16083.2,1.53137,0.76951,1.51142,0.91121,0.90576,0.92314,0.45031,1.75325,0.73998,1.57905,0.0128269,0.00427565,0.0128269,0.00427565,0.0128269,0.00427565,0.0128269,0.00427565
24,16774.4,1.52558,0.76318,1.50905,0.90953,0.90457,0.92047,0.44882,1.75689,0.74642,1.58353,0.0116833,0.00389445,0.0116833,0.00389445,0.0116833,0.00389445,0.0116833,0.00389445
25,17464.7,1.51951,0.75943,1.50425,0.90763,0.9078,0.92222,0.44984,1.75204,0.74302,1.57737,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037
26,18153.4,1.51432,0.75592,1.49988,0.91081,0.90846,0.92362,0.44981,1.75356,0.74059,1.57931,0.00946715,0.00315572,0.00946715,0.00315572,0.00946715,0.00315572,0.00946715,0.00315572
27,18840.9,1.50684,0.73919,1.49593,0.912,0.9073,0.92333,0.44985,1.75584,0.73954,1.58065,0.00840824,0.00280275,0.00840824,0.00280275,0.00840824,0.00280275,0.00840824,0.00280275
28,19529.8,1.49872,0.72868,1.49086,0.91292,0.9084,0.92341,0.4494,1.75738,0.73833,1.58135,0.0073909,0.00246363,0.0073909,0.00246363,0.0073909,0.00246363,0.0073909,0.00246363
29,20218,1.49253,0.7238,1.4822,0.91375,0.90891,0.92424,0.44952,1.75864,0.73673,1.58087,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046
30,20905.8,1.48498,0.71459,1.48006,0.91383,0.90813,0.92381,0.44894,1.76215,0.73856,1.58301,0.0055057,0.00183523,0.0055057,0.00183523,0.0055057,0.00183523,0.0055057,0.00183523
31,21592.9,1.54172,0.56752,1.62002,0.91251,0.90772,0.92317,0.44863,1.76317,0.73881,1.58361,0.00464946,0.00154982,0.00464946,0.00154982,0.00464946,0.00154982,0.00464946,0.00154982
32,22280,1.53019,0.55398,1.60762,0.91237,0.90737,0.92266,0.44779,1.76469,0.73798,1.58366,0.00385797,0.00128599,0.00385797,0.00128599,0.00385797,0.00128599,0.00385797,0.00128599
33,22967.4,1.51831,0.55351,1.60422,0.91121,0.90772,0.92247,0.44711,1.76607,0.73979,1.58436,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537
34,23654.6,1.50744,0.54432,1.59562,0.91104,0.90722,0.92068,0.44643,1.76753,0.74054,1.58509,0.00248829,0.000829431,0.00248829,0.000829431,0.00248829,0.000829431,0.00248829,0.000829431
35,24341.7,1.49865,0.53809,1.58884,0.91155,0.9056,0.92027,0.44598,1.76909,0.74094,1.58594,0.00191855,0.000639518,0.00191855,0.000639518,0.00191855,0.000639518,0.00191855,0.000639518
36,25029.7,1.48812,0.53488,1.58337,0.91107,0.90554,0.92014,0.4452,1.77115,0.74178,1.58735,0.00143039,0.000476796,0.00143039,0.000476796,0.00143039,0.000476796,0.00143039,0.000476796
37,25716,1.48239,0.531,1.58114,0.91047,0.90455,0.91967,0.44427,1.77317,0.74271,1.58873,0.00102681,0.00034227,0.00102681,0.00034227,0.00102681,0.00034227,0.00102681,0.00034227
38,26403,1.47597,0.52878,1.57521,0.91092,0.90461,0.91926,0.44375,1.77494,0.7436,1.58994,0.000710307,0.000236769,0.000710307,0.000236769,0.000710307,0.000236769,0.000710307,0.000236769
39,27089.8,1.47002,0.52654,1.57246,0.91004,0.90447,0.9181,0.44304,1.77645,0.74434,1.59104,0.000482828,0.000160943,0.000482828,0.000160943,0.000482828,0.000160943,0.000482828,0.000160943
40,27776.4,1.4672,0.52591,1.57141,0.90966,0.90441,0.918,0.44236,1.77788,0.74529,1.59218,0.000345778,0.000115259,0.000345778,0.000115259,0.000345778,0.000115259,0.000345778,0.000115259
