epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1066.26,1.7161,1.4513,1.62822,0.72897,0.64611,0.70204,0.30438,1.92552,1.35828,1.72712,0.00999101,0.00333034,0.00999101,0.00333034,0.00999101,0.00333034,0.00999101,0.00333034
2,2098.4,1.6957,1.13679,1.62035,0.83721,0.75513,0.81985,0.37121,1.87126,1.08345,1.72433,0.0198692,0.00662306,0.0198692,0.00662306,0.0198692,0.00662306,0.0198692,0.00662306
3,3006.42,1.67871,1.09693,1.61251,0.83555,0.76541,0.82709,0.37723,1.81743,1.03943,1.68673,0.0292644,0.0097548,0.0292644,0.0097548,0.0292644,0.0097548,0.0292644,0.0097548
4,3912.48,1.66728,1.07382,1.6092,0.87824,0.86753,0.89772,0.42593,1.75225,0.87306,1.62641,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048
5,4818.67,1.64322,1.00859,1.58572,0.88378,0.8741,0.90358,0.43024,1.75112,0.84545,1.6232,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
6,5724.31,1.62481,0.9652,1.57013,0.90102,0.89107,0.91929,0.44182,1.74507,0.80121,1.60802,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018
7,6631.15,1.61398,0.93063,1.5616,0.91239,0.90456,0.92617,0.45062,1.7341,0.78261,1.59346,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954
8,7537.76,1.60554,0.91633,1.54993,0.91178,0.90962,0.92916,0.45209,1.72207,0.78376,1.5933,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725
9,8444.49,1.59461,0.89474,1.54505,0.91487,0.91983,0.9335,0.46195,1.69926,0.76514,1.57131,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963
10,9351.15,1.5858,0.87836,1.54173,0.91671,0.92546,0.93725,0.46521,1.69209,0.75148,1.57258,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435
11,10257.8,1.64606,0.73503,1.68503,0.91797,0.92574,0.93888,0.46522,1.69032,0.74299,1.58033,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
12,11162.7,1.63639,0.72819,1.67858,0.92047,0.92787,0.94065,0.46715,1.68684,0.74844,1.58037,0.0128269,0.00427565,0.0128269,0.00427565,0.0128269,0.00427565,0.0128269,0.00427565
13,12066.7,1.62992,0.70136,1.67247,0.92771,0.93697,0.94464,0.47215,1.67875,0.73098,1.56399,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037
14,12971.3,1.61896,0.69029,1.65992,0.92766,0.9389,0.94653,0.47526,1.6747,0.72703,1.56631,0.00840824,0.00280275,0.00840824,0.00280275,0.00840824,0.00280275,0.00840824,0.00280275
15,13876.4,1.61216,0.66911,1.6544,0.93079,0.94222,0.94898,0.47808,1.67295,0.70936,1.55783,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046
16,14786,1.60612,0.65028,1.6478,0.93143,0.94233,0.94987,0.48077,1.66598,0.70265,1.55835,0.00464946,0.00154982,0.00464946,0.00154982,0.00464946,0.00154982,0.00464946,0.00154982
17,15690.5,1.59722,0.63771,1.64177,0.93371,0.94534,0.95199,0.48354,1.65937,0.69916,1.55334,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537
18,16593.4,1.58902,0.62447,1.63352,0.93552,0.94575,0.95228,0.48433,1.65514,0.69531,1.54676,0.00191855,0.000639518,0.00191855,0.000639518,0.00191855,0.000639518,0.00191855,0.000639518
19,17496.1,1.58374,0.61999,1.62943,0.93524,0.94627,0.95255,0.48573,1.6509,0.69533,1.54381,0.00102681,0.00034227,0.00102681,0.00034227,0.00102681,0.00034227,0.00102681,0.00034227
20,18400.1,1.57952,0.61574,1.62408,0.9351,0.94625,0.95263,0.48604,1.64765,0.69397,1.54113,0.000482828,0.000160943,0.000482828,0.000160943,0.000482828,0.000160943,0.000482828,0.000160943
